Name;ISIN;Symbol;Market;Currency;"Open Price";"High Price";"low Price";"last Price";"last Trade MIC Time";"Time Zone";Volume;Turnover;"Closing Price";"Closing Price DateTime"
"CONSTRUCTEURS BOIS";FR00140007I9;MLLCB;"Euronext Access Paris";EUR;4.06;4.06;4.06;4.06;"14/02/2024 16:30";CET;274;1112.44;4.06;14/02/2024
"CORE SPAIN HOLDCO";ES0105660007;MLCOE;"Euronext Access Paris";EUR;16.60;16.60;16.60;16.60;"17/11/2022 00:00";CET;-;-;16.60;14/02/2024
"COREP LIGHTING";FR0010035816;MLCOR;"Euronext Access Paris";EUR;9.00;9.00;9.00;9.00;"25/09/2023 11:30";CET;120;1080.00;9.00;14/02/2024
"CORETECH 5";FR0013371507;MLCOT;"Euronext Access Paris";EUR;0.05;0.05;0.05;0.05;"09/02/2024 11:30";CET;2000;100.00;0.05;14/02/2024
COTY;US2220702037;COTY;"Euronext Paris";EUR;11.028;11.028;10.568;10.686;"14/02/2024 15:58";CET;1694;18322.586;10.686;14/02/2024
COURBET;FR0004998318;MLCOU;"Euronext Access Paris";EUR;3.46;3.46;3.46;3.46;"12/02/2024 11:30";CET;458;1584.68;3.46;14/02/2024
COURTOIS;FR0000065393;COUR;"Euronext Paris";EUR;130.00;130.00;130.00;130.00;"13/02/2024 16:58";CET;36;4680.00;130.00;14/02/2024
COVIVIO;FR0000064578;COV;"Euronext Paris";EUR;41.00;41.86;40.96;41.28;"14/02/2024 17:35";CET;113385;4689996.34;41.28;14/02/2024
"COVIVIO HOTELS";FR0000060303;COVH;"Euronext Paris";EUR;16.45;16.50;16.35;16.40;"14/02/2024 17:35";CET;1310;21513.50;16.40;14/02/2024
"CRCAM ALP.PROV.CCI";FR0000044323;CRAP;"Euronext Paris";EUR;70.00;70.00;70.00;70.00;"14/02/2024 17:18";CET;184;12880.00;70.00;14/02/2024
"CRCAM ATL.VEND.CCI";FR0000185506;CRAV;"Euronext Paris";EUR;79.80;80.69;78.83;79.00;"14/02/2024 17:35";CET;283;22591.57;79.00;14/02/2024
"CRCAM BRIE PIC2CCI";FR0010483768;CRBP2;"Euronext Paris";EUR;17.806;17.88;17.73;17.73;"14/02/2024 17:35";CET;1606;28541.618;17.73;14/02/2024
"CRCAM ILLE-VIL.CCI";FR0000045213;CIV;"Euronext Paris";EUR;57.10;57.99;57.10;57.99;"14/02/2024 17:35";CET;187;10708.85;57.99;14/02/2024
"CRCAM LANGUED CCI";FR0010461053;CRLA;"Euronext Paris";EUR;51.49;51.51;51.00;51.00;"14/02/2024 17:35";CET;699;35815.14;51.00;14/02/2024
"CRCAM LOIRE HTE L.";FR0000045239;CRLO;"Euronext Paris";EUR;54.12;54.50;54.12;54.12;"14/02/2024 11:12";CET;215;11645.52;54.12;14/02/2024
"CRCAM MORBIHAN CCI";FR0000045551;CMO;"Euronext Paris";EUR;64.21;64.21;64.20;64.20;"14/02/2024 15:21";CET;361;23176.70;64.20;14/02/2024
"CRCAM NORD CCI";FR0000185514;CNDF;"Euronext Paris";EUR;13.30;13.30;13.104;13.104;"14/02/2024 17:35";CET;4072;53695.654;13.104;14/02/2024
"CRCAM NORM.SEINE";FR0000044364;CCN;"Euronext Paris";EUR;75.01;75.01;75.00;75.00;"14/02/2024 17:16";CET;153;11475.01;75.00;14/02/2024
"CRCAM PARIS ET IDF";FR0000045528;CAF;"Euronext Paris";EUR;65.70;65.70;65.10;65.10;"14/02/2024 17:35";CET;423;27673.71;65.10;14/02/2024
"CRCAM SUD R.A.CCI";FR0000045346;CRSU;"Euronext Paris";EUR;117.06;118.00;116.00;116.00;"14/02/2024 17:29";CET;249;29137.12;116.00;14/02/2024
"CRCAM TOURAINE CCI";FR0000045304;CRTO;"Euronext Paris";EUR;75.51;75.51;73.50;73.50;"14/02/2024 14:31";CET;209;15606.14;73.50;14/02/2024
"CREDIT AGRICOLE";FR0000045072;ACA;"Euronext Paris";EUR;12.16;12.288;12.132;12.202;"14/02/2024 17:35";CET;6273415;76570850.366;12.202;14/02/2024
CROSSJECT;FR0011716265;ALCJ;"Euronext Growth Paris";EUR;4.15;4.24;4.12;4.17;"14/02/2024 17:35";CET;34082;142799.285;4.17;14/02/2024
CROSSWOOD;FR0000050395;CROS;"Euronext Paris";EUR;8.90;8.90;8.90;8.90;"14/02/2024 11:30";CET;20;178.00;8.90;14/02/2024
CYBERGUN;FR0014004QR6;ALCYB;"Euronext Growth Paris";EUR;0.0425;0.0425;0.0403;0.0403;"14/02/2024 17:35";CET;532048;21789.6362;0.0403;14/02/2024
"CYBERGUN BSA K1";FR0013507977;CYBK1;"Euronext Growth Paris";EUR;0.0005;0.0005;0.0005;0.0005;"15/09/2023 09:00";CET;1;-;0.0005;14/02/2024
"CYBERGUN BSA K2A";FR0013507985;CYBKA;"Euronext Growth Paris";EUR;0.001;0.001;0.001;0.001;"07/02/2024 10:43";CET;5500;5.50;0.001;14/02/2024
"CYBERGUN BSA K2B";FR0013508009;CYBKB;"Euronext Growth Paris";EUR;0.0005;0.0005;0.0005;0.0005;"09/11/2023 09:00";CET;577209;288.61;0.0005;14/02/2024
D.L.S.I.;FR0010404368;ALDLS;"Euronext Growth Paris";EUR;13.20;13.20;13.20;13.20;"14/02/2024 09:00";CET;1;13.20;13.20;14/02/2024
DAMARIS;FR0000077885;MLDAM;"Euronext Access Paris";EUR;9.00;9.00;9.00;9.00;"05/02/2024 11:30";CET;4;36.00;9.00;14/02/2024
DAMARTEX;FR0000185423;ALDAR;"Euronext Growth Paris";EUR;3.60;3.60;3.40;3.40;"14/02/2024 17:35";CET;463;1610.93;3.40;14/02/2024
DANONE;FR0000120644;BN;"Euronext Paris";EUR;60.98;61.20;60.60;60.72;"14/02/2024 17:38";CET;716520;43556945.38;60.72;14/02/2024
"DASSAULT AVIATION";FR0014004L86;AM;"Euronext Paris";EUR;172.20;177.00;172.20;177.00;"14/02/2024 17:35";CET;36830;6485159.20;177.00;14/02/2024
"DASSAULT SYSTEMES";FR0014003TT8;DSY;"Euronext Paris";EUR;42.575;43.065;42.57;42.855;"14/02/2024 17:35";CET;933178;39985797.65;42.855;14/02/2024
DBT;FR001400LO86;ALDBT;"Euronext Growth Paris";EUR;3.27;3.80;3.12;3.80;"14/02/2024 13:58";CET;7932;26971.513;3.80;14/02/2024
"DBV TECHNOLOGIES";FR0010417345;DBV;"Euronext Paris";EUR;1.612;1.66;1.591;1.652;"14/02/2024 17:35";CET;86036;139920.074;1.652;14/02/2024
DEEZER;FR001400AYG6;DEEZR;"Euronext Paris";EUR;2.085;2.095;2.085;2.095;"14/02/2024 14:17";CET;285;597.035;2.095;14/02/2024
"DEEZER WARRANTS";FR0014004JF6;DEEZW;"Euronext Paris";EUR;0.0005;0.0005;0.0005;0.0005;"12/12/2023 10:23";CET;50001;25.00;0.0005;14/02/2024
DEKUPLE;FR0000062978;DKUPL;"Euronext Paris";EUR;30.40;30.60;30.30;30.60;"14/02/2024 14:25";CET;442;13434.50;30.60;14/02/2024
DELFINGEN;FR0000054132;ALDEL;"Euronext Growth Paris";EUR;42.70;42.70;42.20;42.50;"14/02/2024 17:22";CET;113;4785.30;42.50;14/02/2024
"DELTA PLUS GROUP";FR0013283108;ALDLT;"Euronext Growth Paris";EUR;71.40;72.00;70.80;71.90;"14/02/2024 17:29";CET;950;67917.10;71.90;14/02/2024
DERICHEBOURG;FR0000053381;DBG;"Euronext Paris";EUR;4.442;4.516;4.36;4.372;"14/02/2024 17:35";CET;292495;1289672.244;4.372;14/02/2024
